command_name	command_description	type	parameters	parameter_type	returns	return_type
Glib.get_filename_charsets()	Determines the preferred character sets used for filenames. The first character set from the charsets is the filename encoding, the subsequent character sets are used when trying to generate a displayable representation of a filename, see filename_display_name().	function	None		True if the filename encoding is UTF-8.	tuple[bool, list[str]]
Glib.get_home_dir()	Gets the current user’s home directory.	function	None		the current user’s home directory	str
Glib.get_host_name()	Return a name for the machine.	function	None		the host name of the machine.	str
Glib.get_language_names()	Computes a list of applicable locale names, which can be used to e.g. construct locale-dependent filenames or search paths. The returned list is sorted from most desirable to least desirable and always contains the default locale “C”.	function	None		a None-terminated array of strings owned by GLib that must not be modified or freed.	list[str]
Glib.get_language_names_with_category()	Computes a list of applicable locale names with a locale category name, which can be used to construct the fallback locale-dependent filenames or search paths. The returned list is sorted from most desirable to least desirable and always contains the default locale “C”.	function	category_name	str	a None-terminated array of strings owned by the thread g_get_language_names_with_category was called from. It must not be modified or freed. It must be copied if planned to be used in another thread.	list[str]
Glib.get_locale_variants()	Returns a list of derived variants of locale, which can be used to e.g. construct locale-dependent filenames or search paths. The returned list is sorted from most desirable to least desirable. This function handles territory, charset and extra locale modifiers. See `setlocale(3) <man:setlocale>`__ for information about locales and their format.	function	locale	str	a newly allocated array of newly allocated strings with the locale variants. Free with strfreev().	list[str]
Glib.get_monotonic_time()	Queries the system monotonic time.	function	None		the monotonic time, in microseconds	int
Glib.get_num_processors()	Determine the approximate number of threads that the system will schedule simultaneously for this process. This is intended to be used as a parameter to new() for CPU bound tasks and similar cases.	function	None		Number of schedulable threads, always greater than 0	int
Glib.get_os_info()	Get information about the operating system.	function	key_name	str	The associated value for the requested key or None if this information is not provided.	str | None
Glib.get_prgname()	Gets the name of the program. This name should not be localized, in contrast to get_application_name().	function	None		the name of the program, or None if it has not been set yet. The returned string belongs to GLib and must not be modified or freed.	str | None
Glib.get_real_name()	Gets the real name of the user. This usually comes from the user’s entry in the passwd file. The encoding of the returned string is system-defined. (On Windows, it is, however, always UTF-8.) If the real user name cannot be determined, the string “Unknown” is returned.	function	None		the user’s real name.	str
Glib.get_real_time()	Queries the system wall-clock time.	function	None		the number of microseconds since January 1, 1970 UTC.	int
Glib.get_system_config_dirs()	Returns an ordered list of base directories in which to access system-wide configuration information.	function	None		a None-terminated array of strings owned by GLib that must not be modified or freed.	list[str]
Glib.get_system_data_dirs()	Returns an ordered list of base directories in which to access system-wide application data.	function	None		a None-terminated array of strings owned by GLib that must not be modified or freed.	list[str]
Glib.get_tmp_dir()	Gets the directory to use for temporary files.	function	None		the directory to use for temporary files.	str
Glib.get_user_cache_dir()	Returns a base directory in which to store non-essential, cached data specific to particular user.	function	None		a string owned by GLib that must not be modified or freed.	str
Glib.get_user_config_dir()	Returns a base directory in which to store user-specific application configuration information such as user preferences and settings.	function	None		a string owned by GLib that must not be modified or freed.	str
Glib.get_user_data_dir()	Returns a base directory in which to access application data such as icons that is customized for a particular user.	function	None		a string owned by GLib that must not be modified or freed.	str
Glib.get_user_name()	Gets the user name of the current user. The encoding of the returned string is system-defined. On UNIX, it might be the preferred file name encoding, or something else, and there is no guarantee that it is even consistent on a machine. On Windows, it is always UTF-8.	function	None		the user name of the current user.	str
Glib.get_user_runtime_dir()	Returns a directory that is unique to the current user on the local system.	function	None		a string owned by GLib that must not be modified or freed.	str
Glib.get_user_special_dir()	Returns the full path of a special directory using its logical id.	function	directory	UserDirectory	the path to the specified special directory, or None if the logical id was not found. The returned string is owned by GLib and should not be modified or freed.	str | None
Glib.get_user_state_dir()	Returns a base directory in which to store state files specific to particular user.	function	None		a string owned by GLib that must not be modified or freed.	str
Glib.getenv()	Returns the value of an environment variable.	function	variable	str	the value of the environment variable, or None if the environment variable is not found. The returned string may be overwritten by the next call to getenv(), setenv() or unsetenv().	str | None
Glib.hash_table_add()	hash_table	function	hash_table, key	dict[Any, Any], Any		bool
Glib.hash_table_contains()	hash_table	function	hash_table, key	dict[Any, Any], Any		bool
Glib.hash_table_destroy()	hash_table	function	hash_table	dict[Any, Any]		None
Glib.hash_table_find()	hash_table	function	hash_table, predicate, user_data	dict[Any, Any], Callable[[Any, Any, Any], bool], Any		Any | None
Glib.hash_table_foreach()	hash_table	function	hash_table, func, user_data	dict[Any, Any], Callable[[Any, Any, Any], None], Any		None
Glib.hash_table_foreach_remove()	hash_table	function	hash_table, func, user_data	dict[Any, Any], Callable[[Any, Any, Any], bool], Any		int
Glib.hash_table_insert()	hash_table	function	hash_table, key, value	dict[Any, Any], Any, Any		bool
Glib.hash_table_lookup()	hash_table	function	hash_table, key	dict[Any, Any], Any		Any | None
Glib.hash_table_lookup_extended()	hash_table	function	hash_table, lookup_key	dict[Any, Any], Any		tuple[bool, Any | None, Any | None]
Glib.hash_table_new_similar()	other_hash_table	function	other_hash_table	dict[Any, Any]		dict[Any, Any]
Glib.hash_table_remove()	hash_table	function	hash_table, key	dict[Any, Any], Any		bool
Glib.hash_table_remove_all()	hash_table	function	hash_table	dict[Any, Any]		None
Glib.hash_table_replace()	hash_table	function	hash_table, key, value	dict[Any, Any], Any, Any		bool
Glib.hash_table_size()	hash_table	function	hash_table	dict[Any, Any]		int
Glib.hook_destroy()	hook_list	function	hook_list, hook_id	HookList, int		bool
Glib.hook_destroy_link()	hook_list	function	hook_list, hook	HookList, Hook		None
Glib.hook_free()	hook_list	function	hook_list, hook	HookList, Hook		None
Glib.hook_insert_before()	hook_list	function	hook_list, sibling, hook	HookList, Hook | None, Hook		None
Glib.hook_insert_sorted()	hook_list	function	hook_list, hook, func	HookList, Hook, Callable[[Hook, Hook], int]		None
Glib.hook_prepend()	hook_list	function	hook_list, hook	HookList, Hook		None
Glib.hostname_is_ascii_encoded()	Tests if hostname contains segments with an ASCII-compatible encoding of an Internationalized Domain Name. If this returns True, you should decode the hostname with hostname_to_unicode() before displaying it to the user.	function	hostname	str	True if hostname contains any ASCII-encoded segments.	bool
Glib.hostname_is_ip_address()	Tests if hostname is the string form of an IPv4 or IPv6 address. (Eg, “192.168.0.1”.)	function	hostname	str	True if hostname is an IP address	bool
Glib.hostname_is_non_ascii()	Tests if hostname contains Unicode characters. If this returns True, you need to encode the hostname with hostname_to_ascii() before using it in non-IDN-aware contexts.	function	hostname	str	True if hostname contains any non-ASCII characters	bool
Glib.hostname_to_ascii()	Converts hostname to its canonical ASCII form; an ASCII-only string containing no uppercase letters and not ending with a trailing dot.	function	hostname	str	an ASCII hostname, which must be freed, or None if hostname is in some way invalid.	str | None
Glib.hostname_to_unicode()	Converts hostname to its canonical presentation form; a UTF-8 string in Unicode normalization form C, containing no uppercase letters, no forbidden characters, and no ASCII-encoded segments, and not ending with a trailing dot.	function	hostname	str	a UTF-8 hostname, which must be freed, or None if hostname is in some way invalid.	str | None
Glib.idle_add()	Adds a function to be called whenever there are no higher priority events pending to the default main loop. The function is given the default idle priority, PRIORITY_DEFAULT_IDLE. If the function returns False it is automatically removed from the list of event sources and will not be called again.	function	function, *user_data, priority	Any, Any, Any	the ID (greater than 0) of the event source.	
Glib.idle_remove_by_data()	Removes the idle function with the given data.	function	data	Any	True if an idle source was found and removed.	bool
Glib.idle_source_new()	Creates a new idle source.	function	None		the newly-created idle source	Source
Glib.int64_equal()	Compares the two int values being pointed to and returns True if they are equal. It can be passed to new() as the key_equal_func parameter, when using non-None pointers to 64-bit integers as keys in a HashTable.	function	v1, v2	Any, Any	True if the two keys match.	bool
Glib.int64_hash()	Converts a pointer to a int to a hash value.	function	v	Any	a hash value corresponding to the key.	int
Glib.int_equal()	Compares the two int values being pointed to and returns True if they are equal. It can be passed to new() as the key_equal_func parameter, when using non-None pointers to integers as keys in a HashTable.	function	v1, v2	Any, Any	True if the two keys match.	bool
Glib.int_hash()	Converts a pointer to a int to a hash value. It can be passed to new() as the hash_func parameter, when using non-None pointers to integer values as keys in a HashTable.	function	v	Any	a hash value corresponding to the key.	int
Glib.intern_static_string()	Returns a canonical representation for string. Interned strings can be compared for equality by comparing the pointers, instead of using strcmp(). intern_static_string() does not copy the string, therefore string must not be freed or modified.	function	string	str | None	a canonical representation for the string	str
Glib.intern_string()	Returns a canonical representation for string. Interned strings can be compared for equality by comparing the pointers, instead of using strcmp().	function	string	str | None	a canonical representation for the string	str
Glib.io_add_watch()	Adds the IOChannel into the default main loop context with the default priority.	function	*args, **kwargs	Any, Any	the event source id	
Glib.io_channel_error_from_errno()	en	function	en	int		IOChannelError
Glib.io_channel_error_quark()		function	None			int
Glib.io_create_watch()	Creates a Source that’s dispatched when condition is met for the given channel. For example, if condition is IN, the source will be dispatched when there’s data available for reading.	function	channel, condition	IOChannel, IOCondition	a new Source	Source
Glib.key_file_error_quark()		function	None			int
Glib.list_pop_allocator()		function	None			None
Glib.list_push_allocator()	allocator	function	allocator	Allocator		None
Glib.listenv()	Gets the names of all variables set in the environment.	function	None		a None-terminated list of strings which must be freed with strfreev().	list[str]
Glib.locale_from_utf8()	Converts a string from UTF-8 to the encoding used for strings by the C runtime (usually the same as that used by the operating system) in the [current locale][setlocale]. On Windows this means the system codepage.	function	utf8string, len	str, int	A newly-allocated buffer containing the converted string, or None on an error, and error will be set.	tuple[list[int], int]
Glib.locale_to_utf8()	Converts a string which is in the encoding used for strings by the C runtime (usually the same as that used by the operating system) in the [current locale][setlocale] into a UTF-8 string.	function	opsysstring	list[int]	The converted string, or None on an error.	tuple[str, int, int]
Glib.log_default_handler()	The default log handler set up by GLib; log_set_default_handler allows to install an alternate default log handler.	function	log_domain, log_level, message, unused_data	str | None, LogLevelFlags, str | None, Any		None
Glib.log_get_debug_enabled()	Return whether debug output from the GLib logging system is enabled.	function	None		TRUE if debug output is enabled, FALSE otherwise	bool
Glib.log_remove_handler()	Removes the log handler.	function	log_domain, handler_id	str, int		None
Glib.log_set_always_fatal()	Sets the message levels which are always fatal, in any log domain.	function	fatal_mask	LogLevelFlags	the old fatal mask	LogLevelFlags
Glib.log_set_debug_enabled()	Enable or disable debug output from the GLib logging system for all domains.	function	enabled	bool		None
Glib.log_set_fatal_mask()	Sets the log levels which are fatal in the given domain.	function	log_domain, fatal_mask	str, LogLevelFlags	the old fatal mask for the log domain	LogLevelFlags
Glib.log_set_handler()	Sets the log handler for a domain and a set of log levels.	function	log_domain, log_levels, log_func, user_data	str | None, LogLevelFlags, Callable[[str, LogLevelFlags, str, Any], None], Any	the id of the new handler	int
Glib.log_set_writer_func()	Set a writer function which will be called to format and write out each log message.	function	user_data	Any		None
Glib.log_structured_array()	Log a message with structured data.	function	log_level, fields	LogLevelFlags, list[LogField]		None
Glib.log_variant()	Log a message with structured data, accepting the data within a Variant.	function	log_domain, log_level, fields	str | None, LogLevelFlags, Variant		None
Glib.log_writer_default()	Format a structured log message and output it to the default log destination for the platform.	function	log_level, fields, user_data	LogLevelFlags, list[LogField], Any	HANDLED on success, UNHANDLED otherwise	LogWriterOutput
Glib.log_writer_default_set_debug_domains()	Reset the list of domains to be logged, that might be initially set by the G_MESSAGES_DEBUG environment variable.	function	domains	str | None		None
Glib.log_writer_default_set_use_stderr()	Configure whether the built-in log functions will output all log messages to stderr.	function	use_stderr	bool		None
Glib.log_writer_default_would_drop()	Check whether log_writer_default and log_default_handler would ignore a message with the given domain and level.	function	log_level, log_domain	LogLevelFlags, str | None	TRUE if the log message would be dropped by GLib’s default log handlers	bool
Glib.log_writer_format_fields()	Format a structured log message as a string suitable for outputting to the terminal (or elsewhere).	function	log_level, fields, use_color	LogLevelFlags, list[LogField], bool	string containing the formatted log message, in the character set of the current locale	str
Glib.log_writer_is_journald()	Check whether the given output_fd file descriptor is a connection to the systemd journal, or something else (like a log file or stdout or stderr).	function	output_fd	int	TRUE if output_fd points to the journal, FALSE otherwise	bool
Glib.log_writer_journald()	Format a structured log message and send it to the systemd journal as a set of key–value pairs.	function	log_level, fields, user_data	LogLevelFlags, list[LogField], Any	HANDLED on success, UNHANDLED otherwise	LogWriterOutput
Glib.log_writer_standard_streams()	Format a structured log message and print it to either stdout or stderr, depending on its log level.	function	log_level, fields, user_data	LogLevelFlags, list[LogField], Any	HANDLED on success, UNHANDLED otherwise	LogWriterOutput
Glib.log_writer_supports_color()	Check whether the given output_fd file descriptor supports ANSI color escape sequences.	function	output_fd	int	TRUE if ANSI color escapes are supported, FALSE otherwise	bool
Glib.log_writer_syslog()	Format a structured log message and send it to the syslog daemon. Only fields which are understood by this function are included in the formatted string which is printed.	function	log_level, fields, user_data	LogLevelFlags, list[LogField], Any	HANDLED on success, UNHANDLED otherwise	LogWriterOutput
Glib.lstat()	A wrapper for the POSIX lstat() function. The lstat() function is like stat() except that in the case of symbolic links, it returns information about the symbolic link itself and not the file that it refers to. If the system does not support symbolic links lstat() is identical to stat().	function	filename, buf	str, StatBuf	0 if the information was successfully retrieved, -1 if an error occurred	int
Glib.main_context_default()		function	None			MainContext
Glib.main_context_get_thread_default()		function	None			MainContext | None
Glib.main_current_source()	Returns the currently firing source for this thread.	function	None		The currently firing source or None.	Source | None
Glib.main_depth()	Returns the depth of the stack of calls to dispatch on any MainContext in the current thread. That is, when called from the toplevel, it gives 0. When called from within a callback from iteration (or run, etc.) it returns 1. When called from within a callback to a recursive call to iteration, it returns 2. And so forth.	function	None		The main loop recursion level in the current thread	int
Glib.malloc()	Allocates n_bytes bytes of memory. If n_bytes is 0 it returns None.	function	n_bytes	int	a pointer to the allocated memory	Any | None
Glib.malloc0()	Allocates n_bytes bytes of memory, initialized to 0’s. If n_bytes is 0 it returns None.	function	n_bytes	int	a pointer to the allocated memory	Any | None
Glib.malloc0_n()	This function is similar to malloc0(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	n_blocks, n_block_bytes	int, int	a pointer to the allocated memory	Any | None
Glib.malloc_n()	This function is similar to malloc(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	n_blocks, n_block_bytes	int, int	a pointer to the allocated memory	Any | None
Glib.markup_error_quark()		function	None			int
Glib.markup_escape_text()	Escapes text so that the markup parser will parse it verbatim. Less than, greater than, ampersand, etc. are replaced with the corresponding entities. This function would typically be used when writing out a file to be parsed with the markup parser.	function	text, length	Any, Any	a newly allocated string with the escaped text	
Glib.mem_chunk_info()		function	None			None
Glib.mem_is_system_malloc()	Checks whether the allocator used by malloc() is the system’s malloc implementation. If it returns True memory allocated with malloc() can be used interchangeably with memory allocated using malloc(). This function is useful for avoiding an extra copy of allocated memory returned by a non-GLib-based API.	function	None		if True, malloc() and malloc() can be mixed.	bool
Glib.mem_profile()	GLib used to support some tools for memory profiling, but this no longer works. There are many other useful tools for memory profiling these days which can be used instead.	function	None			None
Glib.mem_set_vtable()	This function used to let you override the memory allocation function. However, its use was incompatible with the use of global constructors in GLib and GIO, because those use the GLib allocators before main is reached. Therefore this function is now deprecated and is just a stub.	function	vtable	MemVTable		None
Glib.memdup()	Allocates byte_size bytes of memory, and copies byte_size bytes into it from mem. If mem is NULL it returns NULL.	function	mem, byte_size	Any, int	a pointer to the newly-allocated copy of the memory	Any | None
Glib.memdup2()	Allocates byte_size bytes of memory, and copies byte_size bytes into it from mem. If mem is NULL it returns NULL.	function	mem, byte_size	Any, int	a pointer to the newly-allocated copy of the memory	Any | None
Glib.mkdir()	A wrapper for the POSIX mkdir() function. The mkdir() function attempts to create a directory with the given name and permissions. The mode argument is ignored on Windows.	function	filename, mode	str, int	0 if the directory was successfully created, -1 if an error occurred	int
Glib.mkdir_with_parents()	Create a directory if it doesn’t already exist. Create intermediate parent directories as needed, too.	function	pathname, mode	str, int	0 if the directory already exists, or was successfully created. Returns -1 if an error occurred, with errno set.	int
Glib.node_pop_allocator()		function	None			None
Glib.node_push_allocator()	allocator	function	allocator	Allocator		None
Glib.nullify_pointer()	Set the pointer at the specified location to None.	function	nullify_location	Any		None
Glib.number_parser_error_quark()		function	None			int
Glib.on_error_query()	Prompts the user with [E]xit, [H]alt, show [S]tack trace or [P]roceed. This function is intended to be used for debugging use only. The following example shows how it can be used together with the log() functions.	function	prg_name	str		None
Glib.on_error_stack_trace()	Invokes gdb, which attaches to the current process and shows a stack trace. Called by on_error_query() when the “[S]tack trace” option is selected. You can get the current process’s program name with get_prgname(), assuming that you have called gtk_init() or gdk_init().	function	prg_name	str		None
Glib.once_init_enter()	location	function	location	Any		tuple[bool, Any]
Glib.once_init_enter_impl()	location	function	location	int		bool
Glib.once_init_enter_pointer()	location	function	location	Any		bool
Glib.once_init_leave()	location	function	location, result	Any, int		Any
Glib.once_init_leave_pointer()	location	function	location, result	Any, Any		None
Glib.open()	A wrapper for the POSIX open() function. The open() function is used to convert a pathname into a file descriptor.	function	filename, flags, mode	str, int, int	a new file descriptor, or -1 if an error occurred. The return value can be used exactly like the return value from open().	int
Glib.option_error_quark()		function	None			int
Glib.parse_debug_string()	Parses a string containing debugging options into a unsigned int containing bit flags. This is used within GDK and GTK to parse the debug options passed on the command line or through environment variables.	function	string, keys	str | None, list[DebugKey]	the combined set of bit flags.	int
Glib.path_buf_equal()	v1	function	v1, v2	Any, Any		bool
Glib.path_get_basename()	Gets the last component of the filename.	function	file_name	str	a newly allocated string containing the last component of the filename	str
Glib.path_get_dirname()	Gets the directory components of a file name. For example, the directory component of /usr/bin/test is /usr/bin. The directory component of / is /.	function	file_name	str	the directory components of the file	str
Glib.path_is_absolute()	Returns True if the given file_name is an absolute file name. Note that this is a somewhat vague concept on Windows.	function	file_name	str	True if file_name is absolute	bool
Glib.path_skip_root()	"Returns a pointer into file_name after the root component, i.e. after the “/” in UNIX or “C:"" under Windows. If file_name is not an absolute path it returns None."	function	file_name	str	a pointer into file_name after the root component	str | None
Glib.pattern_match_simple()	Matches a string against a pattern given as a string.	function	pattern, string	str, str	True if string matches pspec	bool
Glib.pointer_bit_lock()	This is equivalent to g_bit_lock, but working on pointers (or other pointer-sized values).	function	address, lock_bit	Any, int		None
Glib.pointer_bit_lock_and_get()	This is equivalent to g_bit_lock, but working on pointers (or other pointer-sized values).	function	address, lock_bit	Any, int		int
Glib.pointer_bit_lock_mask_ptr()	This mangles ptr as pointer_bit_lock() and pointer_bit_unlock() do.	function	ptr, lock_bit, set, preserve_mask, preserve_ptr	Any, int, bool, int, Any	the mangled pointer.	Any | None
Glib.pointer_bit_trylock()	This is equivalent to bit_trylock(), but working on pointers (or other pointer-sized values).	function	address, lock_bit	Any, int	True if the lock was acquired	bool
Glib.pointer_bit_unlock()	This is equivalent to g_bit_unlock, but working on pointers (or other pointer-sized values).	function	address, lock_bit	Any, int		None
Glib.pointer_bit_unlock_and_set()	This is equivalent to pointer_bit_unlock() and atomically setting the pointer value.	function	address, lock_bit, ptr, preserve_mask	Any, int, Any, int		None
Glib.poll()	Polls fds, as with the poll() system call, but portably. (On systems that don’t have poll(), it is emulated using select().) This is used internally by MainContext, but it can be called directly if you need to block until a file descriptor is ready, but don’t want to run the full main loop.	function	fds, nfds, timeout	PollFD, int, int	the number of entries in fds whose revents fields were filled in, or 0 if the operation timed out, or -1 on error or if the call was interrupted.	int
Glib.prefix_error_literal()	Prefixes prefix to an existing error message. If err or err is None (i.e.: no error variable) then do nothing.	function	err, prefix	GError | None, str		GError | None
Glib.propagate_error()	If dest is None, free src; otherwise, moves src into dest. The error variable dest points to must be None.	function	src	GError		GError | None
Glib.qsort_with_data()	This is just like the standard C `qsort() <man:qsort(3)>`__ function, but the comparison routine accepts a user data argument (like `qsort_r() <man:qsort_r(3)>`__).	function	pbase, total_elems, size, compare_func, user_data	Any, int, int, Callable[[Any, Any, Any], int], Any		None
Glib.quark_from_static_string()	Gets the Quark identifying the given (static) string. If the string does not currently have an associated Quark, a new Quark is created, linked to the given string.	function	string	str | None	the Quark identifying the string, or 0 if string is None	int
Glib.quark_from_string()	Gets the Quark identifying the given string. If the string does not currently have an associated Quark, a new Quark is created, using a copy of the string.	function	string	str | None	the Quark identifying the string, or 0 if string is None	int
Glib.quark_to_string()	Gets the string associated with the given Quark.	function	quark	int	the string associated with the Quark	str
Glib.quark_try_string()	Gets the Quark associated with the given string, or 0 if string is None or it has no associated Quark.	function	string	str | None	the Quark associated with the string, or 0 if string is None or there is no Quark associated with it	int
Glib.random_double()	Returns a random float equally distributed over the range [0..1).	function	None		a random number	float
Glib.random_double_range()	Returns a random float equally distributed over the range [begin..``end``).	function	begin, end	float, float	a random number	float
Glib.random_int()	Return a random int equally distributed over the range [0..2^32-1].	function	None		a random number	int
Glib.random_int_range()	Returns a random int equally distributed over the range [begin..``end``-1].	function	begin, end	int, int	a random number	int
Glib.random_set_seed()	Sets the seed for the global random number generator, which is used by the g_random_* functions, to seed.	function	seed	int		None
Glib.rc_box_acquire()	Acquires a reference on the data pointed by mem_block.	function	mem_block	Any	a pointer to the data, with its reference count increased	Any
Glib.rc_box_alloc()	Allocates block_size bytes of memory, and adds reference counting semantics to it.	function	block_size	int	a pointer to the allocated memory	Any
Glib.rc_box_alloc0()	Allocates block_size bytes of memory, and adds reference counting semantics to it.	function	block_size	int	a pointer to the allocated memory	Any
Glib.rc_box_dup()	Allocates a new block of data with reference counting semantics, and copies block_size bytes of mem_block into it.	function	block_size, mem_block	int, Any	a pointer to the allocated memory	Any
Glib.rc_box_get_size()	Retrieves the size of the reference counted data pointed by mem_block.	function	mem_block	Any	the size of the data, in bytes	int
Glib.rc_box_release()	Releases a reference on the data pointed by mem_block.	function	mem_block	Any		None
Glib.rc_box_release_full()	Releases a reference on the data pointed by mem_block.	function	mem_block, clear_func	Any, Callable[[Any], None]		None
Glib.realloc()	Reallocates the memory pointed to by mem, so that it now has space for n_bytes bytes of memory. It returns the new address of the memory, which may have been moved. mem may be None, in which case it’s considered to have zero-length. n_bytes may be 0, in which case None will be returned and mem will be freed unless it is None.	function	mem, n_bytes	Any, int	the new address of the allocated memory	Any | None
Glib.realloc_n()	This function is similar to realloc(), allocating (n_blocks * n_block_bytes) bytes, but care is taken to detect possible overflow during multiplication.	function	mem, n_blocks, n_block_bytes	Any, int, int	the new address of the allocated memory	Any | None
Glib.regex_check_replacement()	replacement	function	replacement	str		tuple[bool, bool]
Glib.regex_error_quark()		function	None			int
Glib.regex_escape_nul()	string	function	string, length	str, int		str
Glib.regex_escape_string()	string	function	string, length	str, int		str
Glib.regex_match_simple()	pattern	function	pattern, string, compile_options, match_options	str, str, RegexCompileFlags, RegexMatchFlags		bool
Glib.regex_split_simple()	pattern	function	pattern, string, compile_options, match_options	str, str, RegexCompileFlags, RegexMatchFlags		list[str]
Glib.reload_user_special_dirs_cache()	Resets the cache used for get_user_special_dir(), so that the latest on-disk version is used. Call this only if you just changed the data on disk yourself.	function	None			None
Glib.remove()	A wrapper for the POSIX remove() function. The remove() function deletes a name from the filesystem.	function	filename	str	0 if the file was successfully removed, -1 if an error occurred	int
Glib.rename()	A wrapper for the POSIX rename() function. The rename() function renames a file, moving it between directories if required.	function	oldfilename, newfilename	str, str	0 if the renaming succeeded, -1 if an error occurred	int
Glib.rmdir()	A wrapper for the POSIX rmdir() function. The rmdir() function deletes a directory from the filesystem.	function	filename	str	0 if the directory was successfully removed, -1 if an error occurred	int
Glib.sequence_foreach_range()	begin	function	begin, end, func, user_data	SequenceIter, SequenceIter, Callable[[Any, Any], None], Any		None
Glib.sequence_get()	iter	function	iter	SequenceIter		Any | None
Glib.sequence_insert_before()	iter	function	iter, data	SequenceIter, Any		SequenceIter
Glib.sequence_move()	src	function	src, dest	SequenceIter, SequenceIter		None
Glib.sequence_move_range()	dest	function	dest, begin, end	SequenceIter, SequenceIter, SequenceIter		None
Glib.sequence_range_get_midpoint()	begin	function	begin, end	SequenceIter, SequenceIter		SequenceIter
Glib.sequence_remove()	iter	function	iter	SequenceIter		None
Glib.sequence_remove_range()	begin	function	begin, end	SequenceIter, SequenceIter		None
Glib.sequence_set()	iter	function	iter, data	SequenceIter, Any		None
Glib.sequence_sort_changed()	iter	function	iter, cmp_func, cmp_data	SequenceIter, Callable[[Any, Any, Any], int], Any		None
Glib.sequence_sort_changed_iter()	iter	function	iter, iter_cmp, cmp_data	SequenceIter, Callable[[SequenceIter, SequenceIter, Any], int], Any		None
Glib.sequence_swap()	a	function	a, b	SequenceIter, SequenceIter		None
Glib.set_application_name()	Sets a human-readable name for the application. This name should be localized if possible, and is intended for display to the user. Contrast with set_prgname(), which sets a non-localized name. set_prgname() will be called automatically by gtk_init(), but set_application_name() will not.	function	application_name	str		None
Glib.set_error_literal()	Does nothing if err is None; if err is non-None, then err must be None. A new Error is created and assigned to err. Unlike set_error(), message is not a printf()-style format string. Use this function if message contains text you don’t have control over, that could include printf() escape sequences.	function	domain, code, message	int, int, str		GError
Glib.set_prgname()	Sets the name of the program. This name should not be localized, in contrast to set_application_name().	function	prgname	str		None
Glib.set_prgname_once()	If get_prgname() is not set, this is the same as setting the name via set_prgname() and True is returned. Otherwise, does nothing and returns False. This is thread-safe.	function	prgname	str	whether g_prgname was initialized by the call.	bool
Glib.setenv()	Sets an environment variable. On UNIX, both the variable’s name and value can be arbitrary byte strings, except that the variable’s name cannot contain ‘=’. On Windows, they should be in UTF-8.	function	variable, value, overwrite	str, str, bool	False if the environment variable couldn’t be set.	bool
Glib.shell_error_quark()		function	None			int
Glib.shell_parse_argv()	Parses a command line into an argument vector, in much the same way the shell would, but without many of the expansions the shell would perform (variable expansion, globs, operators, filename expansion, etc. are not supported).	function	command_line	str	True on success, False if error set	tuple[bool, list[str]]
Glib.shell_quote()	Quotes a string so that the shell (/bin/sh) will interpret the quoted string to mean unquoted_string.	function	unquoted_string	str	quoted string	str
Glib.shell_unquote()	Unquotes a string as the shell (/bin/sh) would.	function	quoted_string	str	an unquoted string	str
Glib.slice_alloc()	Allocates a block of memory from the libc allocator.	function	block_size	int	a pointer to the allocated memory block, which will be None if and only if mem_size is 0	Any | None
Glib.slice_alloc0()	Allocates a block of memory via slice_alloc() and initializes the returned memory to 0.	function	block_size	int	a pointer to the allocated block, which will be None if and only if mem_size is 0	Any | None
Glib.slice_free1()	Frees a block of memory.	function	block_size, mem_block	int, Any		None
Glib.slice_free_chain_with_offset()	Frees a linked list of memory blocks of structure type type.	function	block_size, mem_chain, next_offset	int, Any, int		None
Glib.slice_get_config()	ckey	function	ckey	SliceConfig		int
Glib.slice_get_config_state()	ckey	function	ckey, address, n_values	SliceConfig, int, int		int
Glib.slice_set_config()	ckey	function	ckey, value	SliceConfig, int		None
Glib.slist_pop_allocator()		function	None			None
Glib.slist_push_allocator()	allocator	function	allocator	Allocator		None
Glib.source_remove()	tag	function	tag	int		bool
Glib.source_remove_by_funcs_user_data()	funcs	function	funcs, user_data	SourceFuncs, Any		bool
Glib.source_remove_by_user_data()	user_data	function	user_data	Any		bool
Glib.source_set_name_by_id()	tag	function	tag, name	int, str		None
Glib.spaced_primes_closest()	Gets the smallest prime number from a built-in array of primes which is larger than num. This is used within GLib to calculate the optimum size of a HashTable.	function	num	int	the smallest prime number from a built-in array of primes which is larger than num	int
Glib.spawn_async()	flags=0, child_setup=None, user_data=None, standard_input=None, standard_output=None, standard_error=None) -> (pid, stdin, stdout, stderr)	function	argv	~typing.Sequence[str], envp: ~typing.Sequence[str] | None	True on success, False if error is set	tuple[Pid, int | None, int | None, int | None]
Glib.spawn_async_with_fds()	Executes a child program asynchronously.	function	working_directory, argv, envp, flags, child_setup, user_data, stdin_fd, stdout_fd, stderr_fd	str | None, list[str], list[str] | None, SpawnFlags, Callable[[Any], None] | None, Any, int, int, int	True on success, False if an error was set	tuple[bool, int]
Glib.spawn_async_with_pipes()	Identical to spawn_async_with_pipes_and_fds() but with n_fds set to zero, so no FD assignments are used.	function	working_directory, argv, envp, flags, child_setup, user_data	str | None, list[str], list[str] | None, SpawnFlags, Callable[[Any], None] | None, Any	True on success, False if an error was set	tuple[bool, int, int, int, int]
